Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans,iteration,TotalTargetedCull,TCCWD+
1,1636,1140,1557,2386,1188,1553,9460,0,1,0,0,0,0,1,650,301,84,512,179,37,65,61,7,55,37,0,0,0,0,0,1,0,0,1,0,0
2,1628,1110,1590,2374,1236,1554,9492,0,0,0,0,0,0,0,690,282,86,492,161,31,70,48,5,43,34,0,0,0,0,0,0,2.2,0,1,0,0
3,1603,1132,1662,2387,1261,1533,9578,0,0,0,0,0,0,0,644,299,81,482,177,52,64,67,5,45,36,3,0,0,0,0,0,2.2,0,1,0,0
4,1600,1193,1663,2423,1192,1607,9678,0,0,0,0,0,0,0,652,311,84,477,173,27,70,51,3,55,41,1,0,0,0,0,0,2.2,0,1,0,0
5,1627,1214,1585,2403,1288,1549,9666,0,0,0,0,0,0,0,618,308,68,447,202,33,53,61,2,33,47,2,0,0,0,0,0,2.2,0,1,0,0
6,1698,1169,1660,2481,1226,1575,9809,0,0,0,0,0,0,0,692,292,80,519,192,31,64,74,2,55,39,2,0,0,0,0,0,2.2,0,1,0,0
7,1687,1188,1637,2435,1256,1588,9791,0,0,0,0,0,0,0,678,289,97,489,183,25,66,43,2,49,33,1,0,0,0,0,0,2.2,0,1,0,0
8,1724,1171,1678,2456,1256,1559,9844,0,0,0,0,0,0,0,671,290,83,483,183,31,65,54,9,46,33,2,0,0,0,0,0,2.2,0,1,0,0
9,1732,1175,1668,2483,1241,1565,9864,0,0,0,0,0,0,0,704,312,90,556,203,39,75,65,8,60,42,2,0,0,0,0,0,2.2,0,1,0,0
10,1671,1190,1569,2399,1270,1474,9573,0,0,0,0,0,0,0,696,311,87,460,177,30,63,60,6,58,33,1,0,0,0,0,0,2.2,0,1,0,0
11,1662,1136,1632,2492,1189,1581,9692,0,0,0,0,0,0,0,641,268,81,467,182,23,69,39,5,51,36,2,0,0,0,0,0,2.2,0,1,0,0
12,1689,1148,1658,2498,1259,1520,9772,0,0,0,0,0,0,0,701,297,73,472,182,33,59,57,7,52,39,1,0,0,0,0,0,2.2,0,1,0,0
13,1639,1200,1670,2524,1206,1591,9830,0,0,0,0,0,0,0,633,300,79,536,179,33,58,44,7,50,38,3,0,0,0,0,0,2.2,0,1,0,0
14,1711,1191,1712,2458,1269,1502,9843,0,0,0,0,0,0,0,689,256,84,483,192,25,70,53,3,43,46,0,0,0,0,0,0,2.2,0,1,0,0
15,1755,1245,1635,2476,1196,1640,9947,0,0,0,0,0,0,0,701,296,69,510,166,36,69,57,4,44,28,2,0,0,0,0,0,2.2,0,1,0,0
1,1659,1101,1586,2398,1214,1514,9472,0,0,1,0,0,0,1,661,274,92,447,186,26,75,69,4,47,45,0,0,0,0,0,0,0,0,2,0,0
2,1622,1138,1596,2496,1213,1561,9626,0,0,0,1,1,0,2,654,273,80,501,192,33,65,65,4,40,39,2,0,0,0,0,0,0,2,2,0,0
3,1640,1141,1586,2419,1221,1568,9575,0,0,0,4,0,1,5,632,268,64,486,193,35,55,59,6,46,33,1,3,0,0,0,2,0,8,2,0,0
